feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,cat_feature_1,cat_feature_2,cat_feature_3,region,season,target
7.92,4.67,2.82,2.83,2.33,2.48,3.75,0.26,B,Y,High,West,Spring,2
5.97,3.51,5.69,2.24,2.67,1.44,3.27,0.8,C,X,Medium,North,Summer,2
5.32,3.35,5.6,0.35,0.74,1.61,3.47,0.74,C,Z,High,West,Winter,1
6.53,3.76,5.15,2.04,1.44,1.56,1.65,1.21,B,Z,Medium,East,Spring,2
4.96,3.87,6.79,1.29,1.46,1.14,1.79,0.66,C,X,Low,East,Fall,2
4.3,2.22,3.36,1.47,2.63,0.65,1.63,1.48,A,Y,Medium,South,Summer,1
4.52,4.05,1.78,0.24,2.31,2.29,3.3,0.44,A,Y,Medium,South,Spring,0
4.51,2.73,5.03,0.65,1.59,2.11,3.84,0.97,A,Y,Low,North,Fall,2
4.61,4.14,5.38,2.39,2.05,0.78,3.15,0.32,B,X,Medium,West,Winter,2
4.56,4.47,4.45,1.42,2.56,2.05,3.64,1.15,B,X,Medium,South,Summer,2
6.56,4.41,2.24,0.97,0.13,1.75,2.92,1.49,C,X,Low,West,Fall,0
4.73,3.66,4.03,1.21,1.27,1.32,2.16,1.26,C,X,Medium,South,Winter,1
5.38,3.56,2.87,2.58,2.73,1.01,2.28,0.92,B,Z,Medium,North,Winter,1
7.59,2.43,3.56,2.27,2.25,2.22,1.23,0.83,C,Y,High,East,Spring,2
5.9,4.33,4.87,0.89,1.67,1.9,1.09,1.29,A,Z,High,North,Fall,2
6.67,2.81,5.47,0.44,1.64,1.6,3.09,1.42,A,X,Medium,West,Fall,2
4.69,3.49,2.39,0.83,1.11,1.72,2.32,1.49,C,X,Medium,West,Fall,0
4.77,2.85,3.43,2.77,1.61,0.68,2.66,0.72,C,Y,Low,East,Summer,0
4.16,2.4,2.61,1.79,2.0,1.45,2.67,1.49,C,X,Low,East,Spring,0
4.68,3.89,2.19,1.65,1.31,0.89,1.83,0.4,B,X,Low,East,Fall,0
5.11,2.16,5.7,1.83,2.17,0.92,2.43,0.53,C,Y,Medium,West,Summer,2
4.71,4.25,6.46,1.16,2.6,1.82,2.41,0.32,C,X,Low,South,Fall,2
4.35,2.95,3.22,2.44,0.55,2.32,2.17,0.55,D,Y,Medium,West,Winter,0
4.48,2.0,5.51,1.62,1.41,1.31,3.46,1.2,A,X,Medium,East,Winter,2
5.84,3.53,6.38,0.44,1.28,0.92,2.35,1.31,B,Y,Low,West,Summer,1
4.83,2.14,6.08,0.47,2.09,1.8,2.81,1.21,C,Z,High,West,Summer,1
5.46,2.83,2.1,1.66,0.82,2.24,3.69,1.02,D,X,High,West,Fall,1
6.01,4.12,6.74,2.82,1.96,2.0,3.6,0.87,A,Z,Low,East,Fall,2
6.76,2.19,3.26,0.99,2.64,2.24,3.67,1.12,B,Y,Medium,North,Winter,1
4.16,4.52,3.04,2.62,1.31,1.57,1.81,0.71,B,Z,Medium,East,Fall,1
7.2,2.01,1.37,2.32,2.74,2.0,1.1,1.29,B,X,Medium,East,Summer,1
6.51,2.74,3.92,0.82,2.98,0.78,1.78,1.08,A,Y,Low,West,Fall,2
4.33,4.22,1.65,0.21,0.41,1.2,1.84,1.11,A,Y,Medium,North,Fall,0
7.49,2.95,2.49,0.4,0.78,1.28,3.73,0.9,B,Z,Medium,East,Fall,0
7.68,2.31,2.9,2.21,2.86,1.52,2.95,1.35,B,Y,High,North,Fall,2
4.24,3.08,5.85,0.68,2.88,2.36,1.25,0.53,A,Y,High,West,Spring,2
5.11,2.81,6.25,1.18,0.38,2.25,1.41,0.7,B,Z,Low,North,Spring,1
7.22,4.53,2.81,1.55,0.14,0.77,1.47,1.21,A,X,Medium,East,Summer,2
6.99,2.94,6.15,2.2,0.57,0.85,2.89,0.84,D,X,Medium,South,Summer,2
4.74,4.37,6.14,0.43,2.99,1.22,3.21,1.36,B,Y,Medium,South,Spring,2
4.84,4.68,5.59,1.28,0.62,1.08,3.58,0.65,C,Y,Low,West,Winter,1
5.48,3.3,1.88,1.51,1.56,1.73,3.82,0.68,B,Y,Medium,North,Summer,0
5.94,4.73,5.14,1.67,2.56,2.31,1.61,1.36,D,Y,Medium,North,Winter,2
6.47,3.13,6.67,2.47,0.16,2.42,1.93,0.8,B,Z,Medium,North,Spring,2
5.48,4.89,5.1,0.6,1.85,1.81,1.72,0.87,B,Y,High,East,Spring,2
5.85,2.27,2.99,2.44,0.9,2.18,2.08,0.63,B,X,Low,East,Summer,1
6.99,4.06,4.0,2.11,2.6,1.55,3.74,0.56,C,X,Low,South,Spring,2
4.15,3.48,4.87,1.71,0.92,0.92,2.73,1.05,B,Z,Low,East,Winter,1
5.01,3.16,4.06,2.13,2.09,1.55,3.21,0.36,A,Y,Low,North,Spring,1
6.85,3.9,1.72,1.29,2.06,1.61,2.47,1.34,A,Z,Low,West,Summer,1
7.58,4.11,2.87,0.5,0.74,1.98,1.09,1.21,C,X,Medium,West,Winter,0
6.05,2.01,5.81,2.03,0.2,0.94,1.19,0.45,B,Y,Low,West,Summer,1
6.13,2.5,6.17,1.62,1.29,1.24,2.61,1.1,A,Y,Medium,West,Spring,2
4.43,4.14,1.82,1.95,0.94,1.23,3.16,0.98,B,X,High,South,Summer,1
5.79,4.0,6.71,1.08,2.45,2.42,1.65,0.44,B,Y,Medium,South,Summer,2
6.13,4.9,2.97,2.73,2.42,1.39,3.17,0.56,C,Y,Low,East,Spring,2
4.97,4.28,4.97,1.8,1.43,2.01,3.43,0.73,A,Y,Medium,North,Summer,2
5.08,4.85,5.51,0.35,1.86,2.0,2.24,1.11,B,Z,Low,South,Winter,0
5.51,4.11,5.87,1.4,1.85,1.03,3.24,1.03,C,Z,High,North,Winter,2
4.08,2.89,6.67,2.29,2.5,1.64,2.21,0.89,C,Z,Medium,South,Spring,2
5.29,2.32,2.88,2.4,1.33,2.29,3.04,1.2,A,Z,Medium,East,Spring,2
4.85,4.35,6.15,1.53,0.9,1.45,3.29,1.19,C,Y,High,North,Summer,2
5.31,3.93,1.79,2.69,0.87,2.39,3.98,1.0,B,X,High,North,Fall,2
4.48,2.14,5.23,0.88,1.65,0.93,2.04,1.22,B,Z,High,East,Summer,1
7.56,3.08,5.45,1.29,1.4,0.65,2.23,0.63,D,Y,Low,North,Winter,1
6.37,4.87,5.07,2.71,1.38,2.28,1.5,1.35,D,X,High,West,Fall,2
6.72,3.5,2.51,2.7,0.36,2.2,1.61,1.0,B,Y,High,North,Spring,1
7.16,3.3,6.24,2.09,2.18,2.49,3.08,1.27,A,X,High,East,Fall,2
5.99,3.37,2.01,2.59,0.72,1.86,3.75,0.91,B,Y,Medium,South,Spring,1
4.35,2.63,1.32,0.36,0.67,2.37,2.18,0.48,A,X,Medium,North,Summer,0
6.15,3.11,5.3,2.61,1.3,2.15,1.54,0.91,A,X,Medium,South,Spring,2
6.35,3.11,3.85,1.03,0.76,2.19,1.86,0.68,B,Z,Medium,East,Spring,1
6.98,2.16,6.09,0.62,1.79,1.64,2.37,1.11,D,Z,High,West,Fall,1
5.73,4.3,3.3,0.79,1.18,1.26,1.87,0.82,D,Z,Low,East,Fall,0
4.51,3.25,2.01,1.31,1.4,2.37,1.7,1.29,B,Y,Low,North,Spring,0
5.14,4.47,6.02,0.83,1.66,1.36,3.21,1.08,B,Z,High,North,Winter,2
5.45,4.55,4.29,1.03,0.69,1.58,1.02,1.09,A,Z,Medium,South,Summer,1
6.58,2.64,2.14,0.49,0.55,1.39,2.62,0.48,A,Y,High,North,Spring,1
6.28,3.97,5.32,0.96,2.65,1.63,3.38,1.48,A,Z,High,South,Spring,2
5.42,3.42,4.07,1.76,1.36,1.44,1.8,1.29,C,X,Low,West,Fall,1
7.95,4.64,4.63,1.38,1.3,0.6,2.81,1.23,A,Z,Medium,East,Winter,2
6.42,2.65,3.77,1.11,0.2,2.26,3.01,0.63,D,Y,High,East,Fall,1
4.95,4.03,5.97,2.26,1.54,1.39,2.97,0.9,C,Y,Medium,East,Winter,2
4.41,3.82,5.98,2.69,1.71,1.68,2.34,0.38,A,X,Low,West,Summer,2
4.61,2.89,5.26,2.29,1.72,0.78,2.04,0.9,A,Y,Low,North,Summer,2
4.98,2.41,1.63,1.06,2.15,0.51,3.51,0.39,C,Y,Low,West,Fall,0
4.64,3.95,6.03,2.26,0.61,0.99,3.28,0.92,D,Z,Medium,West,Fall,1
4.75,4.22,5.03,0.54,0.83,1.91,1.96,1.04,C,Z,Medium,North,Summer,0
5.14,2.95,5.18,0.48,2.45,0.7,1.31,0.71,B,Z,Medium,South,Winter,0
4.69,3.93,3.18,1.1,2.85,2.32,1.22,0.85,B,X,High,West,Spring,2
7.59,3.19,6.28,2.44,0.49,0.93,1.28,1.34,B,Z,Medium,West,Summer,2
4.32,4.14,5.35,0.81,1.54,0.91,2.75,0.34,D,Y,Medium,South,Fall,0
6.1,2.6,1.68,0.28,0.72,0.86,1.15,1.23,C,Z,High,East,Fall,0
5.64,4.67,3.45,0.48,0.27,0.53,2.01,0.42,C,X,Low,South,Summer,0
7.93,2.86,6.32,2.59,1.04,2.04,3.26,0.25,B,Y,High,South,Summer,2
4.45,3.1,1.28,1.94,0.52,2.25,1.88,0.44,C,Z,Medium,South,Summer,0
5.59,2.17,6.77,0.83,2.16,1.73,3.29,1.19,B,Z,High,South,Fall,2
7.88,2.33,5.07,1.71,1.65,0.88,3.24,0.73,A,Y,Medium,East,Winter,2
7.46,3.55,4.79,1.63,0.52,1.07,1.74,1.33,B,Z,High,West,Fall,2
7.27,2.8,2.62,2.0,0.13,1.45,3.19,0.88,D,X,High,West,Summer,1
5.03,4.51,2.49,0.78,2.44,2.41,3.24,0.23,C,Y,Medium,North,Winter,1
4.68,2.04,6.65,2.61,0.61,0.99,2.19,1.13,A,Y,Medium,West,Winter,2
6.67,3.14,2.79,1.0,1.86,1.96,1.63,0.34,D,X,Medium,South,Summer,1
7.72,3.01,5.65,2.11,1.08,1.38,2.56,1.23,A,X,High,South,Spring,2
6.23,2.06,3.36,0.15,1.8,1.1,3.76,0.42,A,X,Medium,West,Summer,1
6.29,2.37,1.84,1.18,1.02,1.41,2.92,0.65,A,Y,Medium,South,Summer,0
5.12,3.24,1.06,1.12,0.35,0.64,1.52,1.19,B,X,Medium,North,Winter,0
7.08,3.48,4.27,1.68,0.75,2.1,3.05,1.44,B,Y,Low,North,Winter,2
4.75,3.21,6.85,0.31,0.65,0.99,2.28,0.68,B,X,Medium,South,Winter,1
5.29,3.59,3.21,2.39,1.34,1.95,2.77,1.28,C,Y,Medium,West,Summer,1
5.7,3.79,3.14,0.73,2.01,0.64,3.2,0.45,B,Y,Low,West,Fall,0
6.03,2.03,3.06,2.06,0.87,2.41,2.54,1.25,C,Y,Low,West,Summer,1
4.97,3.39,4.12,2.43,0.14,0.89,3.44,1.05,A,Y,Low,West,Spring,2
4.46,4.89,3.64,1.73,1.6,2.27,3.17,0.45,C,Y,Medium,East,Fall,2
6.44,3.56,6.28,2.25,1.86,2.12,2.85,0.59,C,X,Medium,West,Spring,2
5.15,4.03,4.03,2.02,2.89,2.44,1.45,0.37,C,Z,High,North,Fall,2
6.32,2.94,4.05,1.13,1.81,1.46,3.51,0.7,B,X,Medium,West,Fall,1
4.62,4.32,1.83,2.45,1.47,1.95,3.81,0.46,C,X,Low,South,Winter,1
5.92,4.32,6.9,0.95,1.76,1.24,1.41,1.04,A,Y,Medium,West,Spring,2
6.13,3.56,2.5,1.76,2.79,0.87,2.46,1.49,D,X,Low,North,Winter,1
4.21,4.93,1.44,2.26,2.5,1.39,1.78,0.22,A,Z,Medium,East,Winter,1
5.35,2.38,4.98,1.2,1.04,0.83,3.26,0.9,A,X,Medium,East,Winter,2
4.54,2.05,4.57,0.98,0.79,2.46,3.16,0.95,B,Y,Low,West,Winter,0
4.25,4.31,3.49,1.43,0.86,0.69,1.42,1.39,C,X,Low,West,Fall,0
7.96,4.42,3.53,2.47,1.56,1.68,3.63,0.86,A,X,Low,South,Summer,2
5.29,2.36,5.71,2.8,2.26,1.75,1.54,0.91,D,X,Low,East,Fall,2
7.24,2.8,2.17,1.68,1.56,1.58,3.39,0.81,D,Z,Medium,South,Fall,0
5.02,2.05,5.92,2.02,0.3,1.82,2.37,0.55,C,Z,Medium,North,Fall,2
6.73,2.88,4.89,2.72,2.2,0.73,1.98,0.27,B,Y,Low,North,Winter,2
7.04,4.32,3.51,0.39,2.44,1.61,1.47,0.73,C,Z,Medium,North,Summer,1
6.38,3.55,3.75,0.77,0.94,1.07,1.5,0.27,B,Y,High,East,Spring,1
5.89,3.04,2.54,2.16,2.03,2.38,2.99,0.92,B,Z,Medium,West,Fall,1
5.65,3.12,5.51,2.49,1.34,2.02,2.65,0.6,D,Z,Medium,West,Summer,2
5.4,2.0,4.08,2.59,2.68,2.45,1.37,0.89,D,X,High,North,Summer,2
7.72,2.9,2.93,1.3,2.55,0.58,1.34,0.37,D,Y,Low,North,Spring,0
7.32,3.94,4.58,0.36,1.62,1.07,1.22,1.41,A,Y,High,North,Summer,2
7.86,4.92,6.97,1.37,2.11,0.89,3.23,1.36,A,X,Medium,South,Winter,2
4.5,4.54,3.61,0.77,2.66,0.52,3.14,0.45,A,X,Low,North,Fall,1
6.92,2.07,6.52,0.94,1.54,0.98,1.18,0.65,B,Z,Medium,South,Spring,1
7.75,4.7,3.07,2.34,1.01,1.86,2.68,1.0,B,Z,Low,East,Summer,2
4.72,4.35,1.33,0.32,2.29,0.96,1.25,0.32,B,Z,Medium,East,Summer,0
4.27,4.34,2.23,2.5,0.74,1.52,3.71,0.66,C,Z,Low,East,Summer,1
6.96,3.37,3.51,1.34,1.23,2.28,3.72,0.53,C,Z,High,South,Summer,2
6.3,3.19,2.32,1.83,2.61,1.89,3.09,1.39,C,X,High,East,Winter,2
7.37,2.91,1.0,0.36,2.2,1.29,3.78,1.31,C,X,Low,West,Spring,0
4.56,2.2,6.49,1.08,1.27,1.24,3.43,0.95,A,X,Low,South,Fall,1
7.18,2.68,6.06,0.36,0.72,1.41,3.49,0.88,A,X,High,North,Winter,2
4.81,2.74,5.45,2.89,1.13,0.85,2.71,1.41,C,X,Low,South,Winter,2
4.65,3.45,2.01,2.44,0.92,1.77,1.92,1.41,B,Y,Medium,North,Spring,1
4.66,4.24,1.72,1.43,0.61,1.23,1.65,1.46,B,Z,Low,South,Fall,0
7.26,3.42,1.41,0.75,2.26,2.2,1.98,0.36,A,Z,Medium,North,Spring,1
6.66,2.17,5.34,2.81,0.83,2.01,2.89,0.41,A,Y,Medium,South,Summer,2
6.09,4.87,6.57,1.1,1.42,1.72,1.52,1.08,C,Z,Medium,North,Spring,2
5.44,4.83,3.58,0.57,1.22,1.23,1.78,0.9,D,Y,Medium,East,Winter,0
7.51,4.36,1.71,1.73,2.95,0.92,2.4,0.22,D,Z,Medium,North,Spring,1
5.57,4.97,4.07,2.84,1.23,2.05,1.7,0.28,B,Y,Medium,East,Fall,2
7.27,3.63,3.09,0.11,0.33,1.47,2.77,1.35,B,X,High,North,Fall,1
5.76,4.89,3.25,0.79,0.36,0.95,3.77,1.33,C,Z,High,North,Winter,1
5.51,2.23,4.73,2.82,1.81,0.89,3.24,0.66,B,X,High,West,Fall,2
5.85,3.1,5.31,0.6,1.84,0.83,3.0,1.36,B,Y,Low,East,Summer,1
5.21,2.68,1.66,0.43,1.31,2.05,2.75,0.97,D,X,Medium,North,Spring,0
6.99,2.59,1.21,1.75,1.35,0.96,2.46,1.25,C,Y,Low,East,Spring,0
6.01,2.42,6.97,2.6,0.26,1.55,1.56,0.76,D,Z,Low,East,Winter,1
4.93,3.87,2.4,1.48,1.6,1.4,3.68,0.35,A,X,Medium,South,Fall,1
7.6,4.34,1.32,2.98,1.56,1.66,1.75,0.76,B,Z,Low,South,Fall,1
5.54,3.73,2.14,2.07,0.53,2.25,1.27,0.79,C,X,Medium,West,Spring,1
6.17,2.44,1.23,0.31,0.4,2.24,3.25,0.92,A,X,High,North,Winter,0
7.63,4.43,3.35,2.98,0.46,1.4,1.53,0.34,C,X,Medium,South,Fall,2
6.5,3.91,5.81,1.28,0.39,0.53,2.12,1.49,A,Z,Medium,South,Winter,1
4.47,3.16,3.05,0.93,1.87,1.35,1.08,0.52,C,X,Low,West,Fall,0
7.76,4.02,3.67,1.72,0.67,1.71,1.41,0.46,C,Y,Medium,West,Summer,1
6.51,2.78,5.05,0.98,0.83,1.62,1.52,0.88,A,X,High,West,Summer,2
5.34,3.04,4.05,0.35,0.6,1.8,1.16,0.9,B,X,Low,West,Spring,0
4.56,4.75,6.17,0.1,2.88,0.81,2.97,0.77,C,Z,Medium,West,Fall,1
7.18,2.87,6.2,1.4,2.58,1.79,3.51,1.2,C,X,High,East,Fall,2
6.48,3.41,1.06,2.53,0.77,0.87,2.12,0.87,B,X,Medium,West,Spring,0
6.13,4.67,5.67,1.76,1.05,2.0,3.62,0.99,D,X,Low,West,Spring,2
7.58,4.12,3.76,3.0,0.71,1.18,1.64,1.14,B,Y,Low,North,Spring,2
7.15,2.19,6.93,0.93,1.53,1.92,1.98,0.23,B,Y,Medium,East,Winter,2
4.61,2.44,3.9,0.91,0.16,0.6,1.45,0.94,A,X,Medium,East,Spring,1
5.25,2.02,6.92,0.56,2.05,1.32,2.86,1.35,D,X,High,West,Summer,2
4.99,3.89,5.53,0.58,1.62,1.91,2.26,0.22,A,Y,Medium,West,Summer,1
6.98,3.34,2.49,0.93,2.71,0.95,2.84,0.73,B,X,Low,West,Summer,1
4.13,2.4,4.23,2.4,0.58,2.09,3.29,1.4,C,Z,Medium,West,Fall,1
6.28,4.87,6.95,2.73,2.43,1.76,2.64,0.66,A,Z,High,East,Winter,2
7.05,3.59,6.15,2.93,2.4,1.68,2.88,0.8,B,Y,Low,North,Spring,2
7.51,2.73,1.58,0.77,0.47,1.21,3.81,1.48,A,X,Low,North,Fall,0
5.37,3.5,5.24,2.66,1.26,1.46,1.9,0.46,C,Y,Medium,East,Summer,2
7.29,4.04,3.07,1.05,0.59,1.69,2.08,0.28,B,Z,High,South,Winter,1
4.44,2.23,1.04,0.43,0.84,1.44,3.15,1.32,D,Y,High,South,Summer,0
7.39,2.82,3.42,2.62,0.86,1.9,2.83,1.33,D,Z,High,South,Spring,1
4.51,4.42,2.41,1.94,1.71,1.37,1.54,0.81,C,Y,Medium,West,Fall,0
5.59,3.38,5.91,0.58,1.29,0.9,2.13,0.87,C,Y,High,South,Spring,2
7.19,3.64,3.02,1.35,2.85,0.93,2.4,1.29,B,X,Low,West,Spring,2
4.6,3.3,5.97,0.93,0.47,0.51,2.26,1.16,B,Y,Low,West,Fall,0
4.92,2.13,1.0,2.24,2.92,1.1,1.53,0.54,C,X,Medium,South,Fall,0
6.89,2.5,2.85,1.41,0.77,2.0,3.77,0.22,D,Z,Medium,South,Summer,1
6.88,3.34,2.45,2.97,2.34,2.09,3.29,0.82,B,Z,Low,West,Fall,2
6.56,2.63,2.4,0.26,1.08,0.9,2.44,1.32,B,Z,Low,East,Fall,0
6.78,2.15,1.41,1.13,0.51,2.42,3.04,1.36,B,Y,Low,South,Fall,0
6.17,4.53,2.12,1.5,2.59,1.5,3.69,1.44,B,X,High,North,Fall,2
5.01,4.94,4.33,1.56,1.0,2.33,1.41,1.34,A,X,High,South,Fall,2
5.38,4.38,2.75,1.02,2.01,1.91,1.75,0.95,B,Y,Low,North,Spring,0
4.73,4.56,3.5,2.21,1.74,1.94,2.63,0.78,B,Z,Medium,South,Summer,1
7.63,2.73,3.26,2.64,1.47,0.67,3.4,1.21,B,Y,High,South,Summer,2
6.33,4.88,6.26,2.82,1.54,0.94,1.11,1.16,B,X,Medium,East,Summer,2
5.6,2.59,6.43,2.43,2.22,0.52,3.95,0.9,C,Z,Low,West,Winter,2
5.85,4.85,3.96,2.57,0.35,1.93,2.36,0.31,D,Z,High,East,Summer,2
7.79,4.98,2.98,1.7,2.04,1.19,2.08,1.4,D,Y,Low,West,Spring,1
4.61,4.14,1.64,2.5,2.7,2.07,1.88,0.79,B,Y,High,West,Summer,1
6.34,4.94,6.72,0.98,0.27,1.18,1.52,0.67,A,Z,Low,East,Spring,2
6.02,3.71,1.36,1.26,0.51,2.14,3.37,1.02,D,Y,Medium,South,Fall,0
6.45,2.78,2.79,1.02,2.18,0.76,3.87,1.08,C,Z,Medium,South,Summer,0
4.07,3.31,2.79,1.46,1.37,0.85,2.24,0.47,B,X,Low,West,Fall,0
7.49,3.78,2.92,0.93,1.27,1.18,3.86,1.29,A,Y,Low,West,Summer,1
7.73,2.22,1.99,2.89,0.5,1.32,3.47,0.58,A,Y,Low,South,Winter,1
6.26,3.87,5.7,1.01,1.57,1.2,2.44,0.44,A,Z,Medium,North,Winter,2
6.79,4.94,1.73,0.38,0.47,2.03,3.02,0.73,A,Z,Medium,West,Fall,0
7.69,2.57,4.81,1.63,1.48,0.69,2.3,1.15,D,Z,Medium,South,Winter,1
6.83,4.38,1.74,0.27,2.31,1.2,2.68,1.46,B,Y,Medium,North,Fall,0
4.61,4.72,1.42,0.42,0.85,2.17,1.17,1.25,C,Z,Low,West,Winter,0
6.31,4.83,6.46,0.74,1.49,0.63,3.09,1.42,C,Y,High,East,Winter,2
6.43,4.88,2.14,1.45,2.98,2.38,1.16,0.38,C,Y,High,East,Winter,2
5.7,3.56,5.93,1.36,2.09,2.47,3.45,0.29,D,X,Medium,West,Fall,2
6.95,4.93,4.27,2.42,2.54,0.68,3.47,0.93,D,Z,High,East,Winter,2
7.74,4.27,1.47,2.24,1.3,1.08,1.71,0.58,B,Z,Low,East,Fall,1
7.7,2.49,6.73,1.34,2.33,1.24,1.97,1.28,D,X,Medium,South,Summer,2
5.8,3.43,2.48,1.07,0.22,2.05,2.44,1.07,C,X,Medium,South,Summer,0
4.45,4.15,6.16,1.02,0.46,1.69,2.79,1.46,A,Z,Low,West,Winter,1
7.94,2.74,2.01,2.34,0.69,1.79,1.86,0.53,C,Y,Medium,South,Spring,1
7.36,3.92,6.12,0.25,1.27,2.02,2.78,0.83,C,Z,Medium,North,Fall,2
4.5,4.0,1.08,0.14,2.55,0.74,1.89,0.85,D,X,High,North,Summer,0
7.68,2.49,4.07,2.41,1.1,2.17,1.17,0.51,B,X,Medium,South,Summer,2
7.48,3.7,5.62,1.48,2.0,1.91,1.01,0.97,B,Y,High,South,Winter,2
6.08,4.31,6.61,0.48,2.16,1.65,1.3,0.78,A,X,Medium,East,Winter,2
6.37,3.5,6.46,0.78,1.8,2.28,3.38,0.78,B,X,Medium,South,Fall,2
5.6,2.04,5.92,2.8,1.14,1.9,3.88,0.67,A,X,Medium,North,Summer,2
4.22,2.03,6.33,2.59,1.77,0.9,2.28,0.22,B,X,Medium,East,Summer,2
5.34,3.07,2.2,2.16,1.09,1.36,2.54,0.88,C,X,High,West,Summer,1
7.21,4.78,2.71,1.5,0.34,1.49,1.44,0.64,A,Z,Low,North,Summer,1
4.02,2.69,2.73,1.61,2.98,0.61,2.65,0.2,B,X,High,East,Spring,1
5.33,3.9,3.26,2.93,0.47,2.41,1.43,0.6,A,Y,Low,East,Fall,2
5.59,2.67,3.36,2.9,0.31,0.76,2.83,0.56,A,Z,Medium,East,Summer,1
6.15,2.97,4.27,0.72,2.65,1.89,3.8,0.71,B,Y,Medium,North,Fall,2
7.68,4.54,1.96,2.45,0.98,1.51,1.59,0.37,A,Y,Medium,West,Summer,2
5.39,4.19,5.15,0.67,1.99,0.55,3.29,0.86,B,Y,Low,East,Summer,1
5.39,2.29,2.01,0.72,1.05,2.35,1.07,1.1,A,Z,High,West,Spring,0
6.95,3.29,2.86,2.06,1.24,2.2,2.13,1.02,A,Z,Medium,North,Winter,2
5.81,2.09,4.02,1.27,0.86,1.55,1.33,1.24,B,Y,Low,East,Fall,0
4.9,3.44,5.78,2.8,1.09,0.96,2.06,0.79,B,Z,Low,West,Spring,1
5.81,3.99,5.44,0.36,1.29,0.74,1.52,0.87,A,Y,Medium,South,Fall,1
4.56,2.36,4.87,1.58,2.19,1.23,2.12,1.25,B,X,Low,South,Winter,1
4.71,2.87,1.93,2.76,1.58,1.01,2.25,0.76,C,Z,Low,East,Winter,0
5.99,3.19,4.28,2.72,2.84,1.51,1.9,1.11,C,Y,High,North,Fall,2
5.68,4.76,1.52,0.55,0.22,2.43,2.97,0.76,A,Z,Medium,East,Spring,0
7.66,4.98,3.26,1.16,1.56,1.65,3.76,0.74,B,X,Medium,North,Fall,1
5.45,2.13,3.48,1.9,1.79,2.28,2.2,1.19,C,X,Medium,North,Winter,1
6.32,4.28,1.24,0.56,2.77,1.8,1.58,0.43,A,Z,Low,East,Fall,1
6.53,3.12,2.64,2.91,0.24,1.45,1.81,0.64,D,X,Medium,North,Winter,1
4.05,3.18,6.73,2.75,1.76,2.21,3.56,0.49,D,Z,High,West,Summer,2
6.65,4.26,6.72,0.58,2.58,1.44,2.71,0.67,D,Z,Low,West,Spring,1
4.71,4.76,3.11,0.45,0.8,2.24,2.37,0.5,C,Z,High,East,Winter,0
7.84,4.85,1.26,0.35,2.64,1.08,1.45,0.95,C,Y,Low,West,Fall,0
4.59,3.73,2.07,2.74,0.16,0.76,2.35,1.24,C,Y,Low,West,Spring,0
5.66,3.07,3.35,0.66,2.22,2.21,1.84,1.22,C,Z,Low,South,Summer,1
4.34,4.36,6.69,1.31,2.81,1.67,3.83,0.67,C,Z,Low,West,Winter,2
7.99,2.75,1.85,1.4,2.01,2.28,3.65,1.49,C,Y,High,North,Spring,2
6.01,3.69,5.58,1.84,1.37,2.38,1.25,0.97,B,Z,Medium,South,Spring,2
6.38,3.08,1.65,0.31,0.23,0.61,2.55,0.72,B,Y,High,East,Summer,0
4.27,3.97,6.89,0.76,2.77,1.5,1.68,1.29,D,Z,High,East,Winter,2
7.0,2.72,3.29,2.8,1.46,1.25,2.23,1.15,A,X,Medium,North,Winter,2
4.84,2.57,5.65,2.73,0.18,1.75,3.63,1.17,C,X,High,South,Fall,2
7.59,4.75,3.06,2.37,2.1,2.09,2.58,0.45,D,Y,Low,East,Fall,1
4.82,2.31,4.77,0.16,1.5,1.06,2.0,0.81,C,X,Low,South,Summer,0
4.76,3.52,2.15,1.05,0.46,1.61,1.62,1.32,D,Z,Medium,West,Spring,0
4.15,2.66,1.88,1.92,0.72,1.92,3.4,0.86,C,X,Medium,East,Winter,1
5.89,2.12,6.63,0.9,0.29,0.77,2.87,1.09,A,Z,Medium,North,Spring,1
6.26,2.11,6.51,2.74,1.77,2.13,2.4,0.96,C,X,Low,North,Summer,2
4.26,2.53,6.32,1.94,1.9,1.71,1.65,1.3,A,Y,Medium,East,Fall,2
7.1,4.6,4.75,0.31,1.57,2.4,2.0,0.57,B,X,High,South,Spring,2
5.81,2.85,5.85,2.74,2.47,1.18,3.88,0.95,B,Y,Medium,North,Fall,2
6.1,4.85,1.41,2.88,2.6,0.72,2.56,0.36,A,X,Medium,South,Fall,2
5.76,3.74,3.01,0.33,1.89,1.51,2.2,1.1,B,X,Low,South,Fall,0
5.6,3.31,2.88,1.64,0.14,0.67,2.56,1.15,B,Y,High,North,Spring,1
6.24,3.74,4.81,0.98,2.12,2.44,3.34,0.26,C,X,High,East,Summer,2
4.62,3.55,3.14,1.24,1.31,0.58,2.02,1.08,C,X,Low,West,Fall,0
4.73,4.28,1.89,0.62,1.74,2.01,1.54,0.74,A,Z,Low,East,Winter,0
7.45,2.85,4.58,1.78,1.98,1.55,2.75,0.36,A,X,Low,West,Spring,2
7.78,3.06,5.89,2.88,1.12,1.24,3.0,0.75,C,Y,Medium,North,Winter,2
5.49,4.68,3.29,1.56,2.76,0.63,3.14,0.45,C,X,Medium,South,Fall,1
5.08,4.84,1.79,0.34,0.49,1.74,3.65,0.74,D,X,Medium,East,Winter,0
